station,date,tmax_c,tmin_c
Heathrow,2016-01-01,8.6,1.3
Heathrow,2016-01-02,11.3,7.8
Heathrow,2016-01-03,10.1,4.9
Heathrow,2016-01-04,10.9,5.7
Heathrow,2016-01-05,10.1,5.1
Heathrow,2016-01-06,8.3,4.8
Heathrow,2016-01-07,10.8,4.1
Heathrow,2016-01-08,9.5,0.5
Heathrow,2016-01-09,10.9,5.4
Heathrow,2016-01-10,9.1,5.0
Heathrow,2016-01-11,7.3,4.8
Heathrow,2016-01-12,7.4,3.0
Heathrow,2016-01-13,7.1,2.0
Heathrow,2016-01-14,5.5,2.0
Heathrow,2016-01-15,5.9,0.9
Heathrow,2016-01-16,5.2,-1.6
Heathrow,2016-01-17,4.0,0.3
Heathrow,2016-01-18,5.4,-0.8
Heathrow,2016-01-19,5.3,-2.7
Heathrow,2016-01-20,7.0,-4.5
Heathrow,2016-01-21,8.0,-2.4
Heathrow,2016-01-22,11.2,3.3
Heathrow,2016-01-23,11.1,4.2
Heathrow,2016-01-24,15.3,8.3
Heathrow,2016-01-25,13.5,9.6
Heathrow,2016-01-26,11.4,5.3
Heathrow,2016-01-27,13.3,8.8
Heathrow,2016-01-28,9.8,2.0
Heathrow,2016-01-29,12.2,8.8
Heathrow,2016-01-30,11.4,5.1
Heathrow,2016-01-31,13.4,3.9
Heathrow,2016-02-01,14.3,10.8
Heathrow,2016-02-02,11.0,5.5
Heathrow,2016-02-03,9.7,2.1
Heathrow,2016-02-04,14.2,3.3
Heathrow,2016-02-05,11.5,8.9
Heathrow,2016-02-06,12.6,9.2
Heathrow,2016-02-07,10.5,4.9
Heathrow,2016-02-08,9.8,6.7
Heathrow,2016-02-09,8.2,2.3
Heathrow,2016-02-10,8.8,3.5
Heathrow,2016-02-11,9.0,-1.1
Heathrow,2016-02-12,7.0,0.5
Heathrow,2016-02-13,5.1,2.3
Heathrow,2016-02-14,6.6,1.6
Heathrow,2016-02-15,6.9,0.1
Heathrow,2016-02-16,7.8,-3.3
Heathrow,2016-02-17,6.6,0.5
Heathrow,2016-02-18,8.4,3.3
Heathrow,2016-02-19,10.5,-1.3
Heathrow,2016-02-20,12.1,8.2
Heathrow,2016-02-21,14.8,11.1
Heathrow,2016-02-22,12.4,6.8
Heathrow,2016-02-23,9.1,2.1
Heathrow,2016-02-24,8.3,-1.7
Heathrow,2016-02-25,7.0,-1.8
Heathrow,2016-02-26,8.7,0.2
Heathrow,2016-02-27,6.1,2.9
Heathrow,2016-02-28,8.3,2.6
Heathrow,2016-02-29,9.3,0.5
Heathrow,2016-03-01,13.1,4.3
Heathrow,2016-03-02,9.8,3.4
Heathrow,2016-03-03,9.2,3.1
Heathrow,2016-03-04,8.2,1.4
Heathrow,2016-03-05,6.7,-0.9
Heathrow,2016-03-06,6.4,0.6
Heathrow,2016-03-07,7.9,0.1
Heathrow,2016-03-08,9.4,-1.6
Heathrow,2016-03-09,11.0,6.4
Heathrow,2016-03-10,9.4,5.3
Heathrow,2016-03-11,11.4,-0.3
Heathrow,2016-03-12,11.1,2.8
Heathrow,2016-03-13,11.4,3.0
Heathrow,2016-03-14,11.7,3.6
Heathrow,2016-03-15,9.0,2.0
Heathrow,2016-03-16,10.2,6.3
Heathrow,2016-03-17,11.9,1.8
Heathrow,2016-03-18,7.6,1.5
Heathrow,2016-03-19,9.0,5.7
Heathrow,2016-03-20,10.9,5.0
Heathrow,2016-03-21,12.2,6.2
Heathrow,2016-03-22,13.9,1.2
Heathrow,2016-03-23,10.4,6.2
Heathrow,2016-03-24,11.4,5.0
Heathrow,2016-03-25,15.1,7.4
Heathrow,2016-03-26,13.9,5.8
Heathrow,2016-03-27,11.2,5.5
Heathrow,2016-03-28,12.9,3.7
Heathrow,2016-03-29,12.7,4.4
Heathrow,2016-03-30,12.9,4.6
Heathrow,2016-03-31,12.8,4.5
Heathrow,2016-04-01,13.1,0.9
Heathrow,2016-04-02,14.5,7.6
Heathrow,2016-04-03,15.5,7.3
Heathrow,2016-04-04,13.2,8.8
Heathrow,2016-04-05,15.5,7.0
Heathrow,2016-04-06,12.8,5.4
Heathrow,2016-04-07,11.9,4.3
Heathrow,2016-04-08,14.1,4.0
Heathrow,2016-04-09,11.6,5.1
Heathrow,2016-04-10,13.3,0.7
Heathrow,2016-04-11,14.3,8.8
Heathrow,2016-04-12,17.4,7.1
Heathrow,2016-04-13,18.6,3.8
Heathrow,2016-04-14,16.9,7.8
Heathrow,2016-04-15,13.4,8.8
Heathrow,2016-04-16,9.5,4.7
Heathrow,2016-04-17,12.0,0.3
Heathrow,2016-04-18,13.0,3.0
Heathrow,2016-04-19,15.9,8.8
Heathrow,2016-04-20,14.8,4.5
Heathrow,2016-04-21,17.0,5.9
Heathrow,2016-04-22,11.3,6.6
Heathrow,2016-04-23,11.2,3.8
Heathrow,2016-04-24,10.3,3.1
Heathrow,2016-04-25,12.1,3.9
Heathrow,2016-04-26,10.6,2.6
Heathrow,2016-04-27,11.7,1.3
Heathrow,2016-04-28,12.6,0.1
Heathrow,2016-04-29,12.2,4.7
Heathrow,2016-04-30,14.3,1.4
Heathrow,2016-05-01,16.5,2.0
Heathrow,2016-05-02,18.4,9.9
Heathrow,2016-05-03,15.7,4.2
Heathrow,2016-05-04,17.4,3.9
Heathrow,2016-05-05,20.7,5.9
Heathrow,2016-05-06,23.5,8.2
Heathrow,2016-05-07,23.9,12.8
Heathrow,2016-05-08,26.8,13.3
Heathrow,2016-05-09,24.9,14.5
Heathrow,2016-05-10,17.2,15.2
Heathrow,2016-05-11,18.9,14.7
Heathrow,2016-05-12,24.3,11.9
Heathrow,2016-05-13,17.7,9.6
Heathrow,2016-05-14,14.6,7.6
Heathrow,2016-05-15,17.4,5.2
Heathrow,2016-05-16,18.1,8.6
Heathrow,2016-05-17,17.8,7.9
Heathrow,2016-05-18,14.2,11.2
Heathrow,2016-05-19,19.0,9.9
Heathrow,2016-05-20,19.2,13.2
Heathrow,2016-05-21,18.3,12.6
Heathrow,2016-05-22,18.8,11.0
Heathrow,2016-05-23,19.7,9.5
